Fecha,Total 60-64,Azteca 60-64,Banamex 60-64,Coppel 60-64,Inbursa 60-64,Invercap 60-64,PensionISSSTE 60-64,Principal 60-64,Profuturo 60-64,SURA 60-64,XXI Banorte 60-64,Total 65-69,Azteca 65-69,Banamex 65-69,Coppel 65-69,Inbursa 65-69,Invercap 65-69,PensionISSSTE 65-69,Principal 65-69,Profuturo 65-69,SURA 65-69,XXI Banorte 65-69,Total 70-74,Azteca 70-74,Banamex 70-74,Coppel 70-74,Inbursa 70-74,Invercap 70-74,PensionISSSTE 70-74,Principal 70-74,Profuturo 70-74,SURA 70-74,XXI Banorte 70-74,Total 75-79,Azteca 75-79,Banamex 75-79,Coppel 75-79,Inbursa 75-79,Invercap 75-79,PensionISSSTE 75-79,Principal 75-79,Profuturo 75-79,SURA 75-79,XXI Banorte 75-79,Total 80-84,Azteca 80-84,Banamex 80-84,Coppel 80-84,Inbursa 80-84,Invercap 80-84,PensionISSSTE 80-84,Principal 80-84,Profuturo 80-84,SURA 80-84,XXI Banorte 80-84,Total 85-89,Azteca 85-89,Banamex 85-89,Coppel 85-89,Inbursa 85-89,Invercap 85-89,PensionISSSTE 85-89,Principal 85-89,Profuturo 85-89,SURA 85-89,XXI Banorte 85-89,Total 90-94,Azteca 90-94,Banamex 90-94,Coppel 90-94,Inbursa 90-94,Invercap 90-94,PensionISSSTE 90-94,Principal 90-94,Profuturo 90-94,SURA 90-94,XXI Banorte 90-94,Total 95-99,Azteca 95-99,Banamex 95-99,Coppel 95-99,Inbursa 95-99,Invercap 95-99,PensionISSSTE 95-99,Principal 95-99,Profuturo 95-99,SURA 95-99,XXI Banorte 95-99
31/01/21,527386585884.44,12833135981.29,68906902786.01,20307476734.53,25598678167.82,21905046738.63,40209382472.98,41645980841.92,90576941889.45,75282261894.07,130120778377.74,698368014288.60,19792057877.41,97856802493.21,30910118564.82,30555744020.49,33015517401.85,40607287390.83,54042811391.62,122992284601.95,104238555360.50,164356835185.92,837759447655.72,26239618546.57,128685352424.71,42049231408.77,31103454662.27,44616343692.80,36844649882.20,64117687968.10,149345145607.77,136827458421.76,177930505040.77,806430178146.03,27756199359.50,137340959070.17,48037298776.93,25250238942.23,44527416136.31,36205789901.57,55055651977.47,147099032579.64,127949657407.46,157207933994.75,712950153070.62,27427365607.91,143910349479.87,51144664359.29,16164132159.49,37664585798.02,44421419624.71,42005033127.49,111081371707.55,108061986957.31,131069244248.98,499033608243.29,22499989458.33,124811375959.22,56776195643.84,8588480052.41,23873381268.45,39678103675.01,18491616696.69,50504324476.23,77207595765.65,76602545247.46,269294211684.53,18010824629.73,73652386408.44,55718173574.11,3152344581.18,8852243068.38,17977296045.23,4901465651.29,24075095629.01,39005585886.18,23948796210.98,70377648366.60,9238882309.76,17161682617.33,24396918250.02,185060399.77,1261838334.68,3375723232.52,1702152760.73,7530326966.71,7589217997.77,2561435524.59
28/02/21,519370151885.85,12811478387.55,66403271499.02,20131670554.95,25440063104.92,21610234312.43,40124272949.20,41174027665.72,89196208525.20,74520072202.80,127958852684.06,693780646429.48,19910767610.90,96147538980.34,30867489206.34,30680605679.50,32779682778.17,40606198887.85,53946001085.67,121882276579.76,103717473832.96,163242611787.99,833554860138.79,26386151767.87,127490157933.76,42025115749.02,31175572230.54,44243976215.30,36729920169.15,63990093449.70,148223416678.46,136236120211.47,177054335733.52,802977445436.69,27888863058.61,136011758699.14,48051043602.06,25359324739.28,44277940137.87,36132568271.97,54842060056.37,146301451420.51,127578624099.69,156533811351.19,710954029059.29,27575106924.96,142479907265.57,51085674503.05,16336775564.35,37504736949.85,44327073701.21,41780117342.77,110861526205.70,108085389501.22,130917721100.61,497874924504.96,22661540071.75,123541033049.37,56594753952.09,8724188917.78,23877632540.50,39567100935.30,18435656585.04,50621948738.36,77248481163.94,76602588550.83,269193071457.28,18158075811.15,73053131263.68,55554899794.68,3233919126.52,8965731375.14,17944727022.66,4921512453.66,24208073542.75,39137763611.69,24015237455.35,71765062763.43,9492745740.59,17410816115.38,24911773693.99,188270040.57,1286531745.43,3431259100.98,1729554331.95,7644891785.10,7775524214.34,2620702090.12
31/03/21,507791184560.13,12655464908.64,63604549426.33,19952818416.70,25138591995.18,21108279044.96,39684647561.41,40184419035.87,87210729435.01,73114110541.06,125137574194.97,685517364938.06,19861181052.46,93865523628.90,30815458721.34,30700107386.35,32354694423.40,40336952651.59,53141626043.10,120409113251.88,102786022878.27,161246684900.77,827212618608.67,26358595835.94,125903355218.08,42084059700.27,31262359004.02,43784018374.41,36528116761.96,63280031656.50,146985194428.34,135281080082.09,175745807547.06,799575482027.01,27900961991.82,134666129327.00,48209459009.22,25533804479.09,44033906806.31,36134063331.39,54516544780.22,145404618325.79,127352396661.41,155823597314.76,711539437828.52,27710799594.26,141463328899.61,51519934696.59,16598246434.74,37506155525.11,44311130737.93,41602224626.57,111039575959.71,108804597469.54,130983443884.46,500611117596.51,22861711618.22,122236074797.44,57435057099.02,8956522903.58,24023797825.37,39430551094.30,18349157585.33,51749352240.58,78612405749.07,76956486683.60,272712888622.77,18457784546.11,70872029892.27,56782762677.04,3366047997.22,9154821141.99,17906150056.34,4944529200.53,25561950476.62,40592625779.81,25074186854.84,74358806213.45,9863330592.81,17786462867.19,25666064693.90,207330025.00,1327341723.09,3558628378.65,1557078989.27,8030067322.57,8125079449.75,2771765214.22
30/04/21,510179487200.84,12813861347.56,63192563053.62,20039820394.20,24900059105.77,21174136974.18,39948436788.26,40488472943.38,87604738679.56,74306650267.66,125710747646.65,694655331416.12,20334896356.51,94566508444.22,31178780179.69,30677762943.73,32699307431.00,40659088307.34,53997650932.63,121960628190.22,105076425405.90,163504283224.88,840060984515.86,27075709583.53,127747234106.73,42618716262.55,31254348662.75,44220628794.65,36750222549.59,64362030019.94,149218436375.55,138357987091.63,178455671068.94,813180909397.37,28702845540.35,136722227332.69,48842649762.01,25588253019.91,44722864201.73,36470445401.92,55589867179.10,147902292809.73,130504747369.55,158134716780.38,724949614798.66,28490001834.75,143623084305.97,52162114850.72,16715468810.87,38432578666.43,44664394869.01,42471249602.57,113724601307.40,111810763686.16,132855356864.78,510455418120.80,23533390591.26,124031107020.42,58126246145.41,9071384679.03,24796580727.84,39740644676.89,18784344339.18,53412914876.13,80909255941.83,78049549122.81,278765609858.43,19026736404.88,71485258874.05,57635057655.21,3434442411.12,9620771145.54,18040225691.19,5110785270.67,26624182783.65,41850756999.70,25937392622.42,74964034175.77,9850465130.77,17649971019.24,25447637701.92,239815257.08,1330764246.96,3478647607.27,1507465418.52,8208487512.23,8338827529.17,2999968809.36
31/05/21,512663077601.43,12961085950.26,63482342183.55,20189306740.42,24764160269.30,21185705601.76,40317908525.41,40578141966.29,88153776249.23,74760024076.96,126270626038.25,702722833179.15,20753709498.66,95454246455.94,31626867901.96,30654717913.32,32945303926.65,41121307555.68,54504318425.37,123672868418.06,106440331134.62,165549161948.89,851131657289.57,27739047563.95,129071151893.66,43305381150.41,31268786702.93,44609966295.75,37409600624.21,65071277915.70,151635753122.22,140100054523.97,180920637496.77,825287805314.96,29493557445.62,138080302285.52,49635963377.04,25628196418.67,45312534517.22,37276224186.77,56409540941.16,150566511833.58,132360032580.42,160524941728.96,737513062144.50,29301193568.83,145383162707.31,53071409760.30,16870412115.91,39127581623.94,45700055008.45,43112205022.22,116410918736.02,113773187850.99,134762935750.53,521521489910.27,24310251924.24,126008694748.63,59120711542.74,9231728966.35,25367748696.70,40836494108.52,19168495823.40,55322571188.21,82829629252.17,79325163659.31,286975905330.42,19808454080.03,73101528458.53,58903222437.22,3542118836.30,9995644037.90,18745463612.01,5289666144.29,27856955012.86,43166349067.18,26566503644.10,79845810548.19,10413315607.40,18770364161.10,26765011806.00,260961992.99,1409084386.91,3699379961.90,1595144719.71,8864532102.34,8932981399.08,3251793500.39
30/06/21,507630071109.99,13004837323.67,62387444395.51,20226778952.16,24384145361.54,20911339549.48,40152883261.24,40050240920.90,87490689293.00,74059989232.00,124961722820.49,702218273353.17,21074747631.16,94703266853.13,32005283668.28,30446508674.48,32844874855.19,40885446111.46,54300549475.46,124036054653.47,106351156982.01,165570384448.53,851985327330.12,28238841259.38,128480520056.84,43773954951.65,31102636245.66,44482013656.10,37366325241.08,64877768262.69,152442255677.91,140020548664.85,181200463313.96,827053211984.15,30141442423.02,137750218196.91,50082852832.72,25530499610.29,45385815703.04,37304104068.56,56416010654.50,151588144291.95,132143879852.20,160710244350.96,740245762449.08,29935690176.74,145188073415.07,53423588130.78,16902613438.47,39465275093.23,45713972713.07,43097548815.72,117846503108.78,114041767415.86,134630730141.36,523838808129.14,24902292265.62,125810303080.31,59216492244.87,9296382483.75,25787827694.92,40858154445.10,19260147473.96,56509284029.28,82967099171.51,79230825239.82,289027278493.62,20342893340.21,73169658395.38,58953580030.84,3597036763.45,10333447597.71,18819039984.51,5367950909.47,28495940238.31,43338877613.66,26608853620.08,81016401656.27,10496320003.91,19151045661.46,26969412864.34,267785708.23,1441125746.75,3726175541.87,1628010569.32,9066052878.40,9043682552.50,3315314263.16
31/07/21,509276955187.86,13179209361.01,62477098465.06,20074232923.13,24262396028.57,20844179826.19,40443219301.83,40166164930.10,87889624365.42,74629097989.64,125311731996.91,709996174567.05,21548069830.56,95429080371.58,31953819376.29,30560765174.52,33123452090.92,41257693783.19,54946299808.50,125680623144.52,107944466353.79,167551904633.18,862469854817.30,28966675372.17,129538715149.28,43838211322.47,31298793948.65,44905912215.64,37862868168.65,65763703099.73,154732770852.86,142102271808.47,183459932879.38,838569153737.29,31021590062.96,138859815957.23,50361313142.35,25776727382.85,46058776829.18,37966713723.01,57276179268.49,154382832430.71,134275084908.40,162590120032.11,752432149414.26,30850822653.69,146654491330.38,53870238055.27,17151226877.54,40355852919.62,46587477954.75,43722938321.27,120789383808.91,116298052860.54,136151664632.29,534374811802.01,25760559828.80,127458748872.27,59719093258.58,9503124857.88,26500817434.29,41795917211.70,19622565424.43,58671068411.17,85111688083.16,80231228419.73,296673484209.51,21153953314.17,74683004061.27,59671984193.97,3716873428.92,10811726909.93,19453009549.78,5542720127.61,29802728197.50,44709537017.54,27127947408.82,84618563721.96,10930412972.12,19995427038.47,27843669761.48,282891584.24,1505131805.40,3877743828.94,1705903433.45,9577129080.34,9478595392.48,3500407570.63
31/08/21,510978133337.29,13340262846.17,62239929576.52,20098639275.41,24175230261.85,20847941656.57,40787516115.53,40370855068.89,88134962882.35,75133870397.24,125848925256.76,718559702311.71,21988959775.23,95994277703.42,32230216985.09,30712756371.57,33352784121.80,41686280908.05,55756253533.51,127499233579.34,109448149426.50,169890789907.20,874938412034.32,29610358623.53,130590035768.38,44290606101.50,31490416928.17,45264468834.58,38302217757.80,66824314341.86,157681222399.85,144158933516.01,186725837762.64,851786497203.34,31777397537.75,140080136241.76,50948572832.84,25996066132.92,46575623451.09,38514881017.36,58251762902.52,157555865328.37,136387771786.32,165698419972.41,764994360473.03,31588942137.01,148110175946.87,54523836853.65,17381883122.92,41012231174.66,47239455859.33,44426160860.73,123684041856.26,118315863908.63,138711768752.97,543142406332.79,26402713136.06,128626996302.99,60303790725.45,9644641211.18,27052424610.79,42452850754.71,19998792779.91,60350738320.73,86622596492.55,81686861998.42,301420045076.93,21672293262.10,75440877980.57,60184728263.12,3787353098.37,11133943424.53,19781147930.51,5671722632.09,30658089041.52,45469646536.86,27620242907.26,86576808818.91,11138856249.18,20457655524.98,28329112766.50,287699829.11,1553921729.12,4034458529.47,1766224358.63,9810842700.43,9722358702.18,3595657259.04
30/09/21,503468305899.72,13289479462.21,61033907257.29,19964494336.68,23901090211.24,20428452037.87,40463215363.81,39810025223.41,86730998198.96,74097922871.20,123748720937.05,713384244042.21,22097389756.12,94664378943.36,32272398287.92,30674059739.34,33099856197.87,41363452123.46,55348134271.35,126634413136.89,108700704355.86,168529457230.04,868629358932.02,29842171060.08,128676032962.12,44364365478.43,31491999351.82,44807868143.35,38146476584.73,66220272470.86,156831448966.84,143042952646.65,185205771267.14,846194220525.58,32112560167.71,138115174332.67,51046860474.45,26039990393.64,46174714620.81,38514016930.95,57629512867.70,156903509104.26,135299038808.42,164358842824.97,760900404093.32,31955312378.04,146306583844.30,54607064786.80,17501565048.58,40827552054.69,47270979263.20,43847119874.04,123551815327.95,117664238590.32,137368172925.40,542650342114.48,26825278109.25,127572246312.02,60441075227.78,9778301324.75,27057573340.66,42547163716.46,19823310447.41,61007781197.55,86539850825.34,81057761613.26,303964308575.43,22155824364.02,75495682996.85,60692832355.20,3894329847.94,11323310501.24,20010133981.06,5707818879.37,31301198644.75,45795374153.07,27587802851.93,90895599464.48,11775302183.86,20798555232.82,29636131026.09,356138350.59,1647018196.86,4463308958.57,1867070743.85,10732255054.94,10132997886.51,3356437345.78
31/10/21,505158021180.78,13379085319.35,61167190722.09,20083619382.62,23696492544.50,20411710984.27,40623443468.30,40096735987.73,87379471748.75,74616757669.00,123703513354.17,722947216477.36,22500651058.43,96145539082.72,32741556712.86,30754235038.41,33475155480.92,41577852321.89,56342356933.18,128675777569.69,110328238100.85,170405854178.41,881413735273.63,30448772055.50,130861820085.42,44996652169.31,31640143137.65,45345430372.90,38364856460.05,67473643866.29,159642440485.62,145208307476.23,187431669164.66,860084985838.82,32822551564.53,140468689821.00,51723569256.36,26217273914.51,46983638073.46,38826617891.16,58898371733.30,160053632253.78,137501334977.87,166589306352.85,775078840217.69,32660853807.22,148897196383.88,55267021175.83,17700702467.31,41863448993.57,47685890364.45,44946355345.94,126622169677.56,120071363699.66,139363838302.27,553086876616.33,27502677597.39,129822973778.14,61058361207.67,9915015514.31,27901017601.24,42925059723.78,20353873483.26,62893019645.81,88417096746.35,82297781318.38,310330010796.33,22755430964.33,77010219829.16,61369215960.65,3962483197.32,11779736135.38,20222017791.37,5917009869.39,32306194435.55,46928617223.23,28079085389.95,90356020058.85,11690437250.45,20605323544.04,29316495064.58,357856662.82,1643197057.99,4424019582.34,1859035544.80,10780103070.41,10062214228.93,3355259418.20
