Fecha,Total 60-64,Azteca 60-64,Banamex 60-64,Coppel 60-64,Inbursa 60-64,Invercap 60-64,PensionISSSTE 60-64,Principal 60-64,Profuturo 60-64,SURA 60-64,XXI Banorte 60-64,Total 65-69,Azteca 65-69,Banamex 65-69,Coppel 65-69,Inbursa 65-69,Invercap 65-69,PensionISSSTE 65-69,Principal 65-69,Profuturo 65-69,SURA 65-69,XXI Banorte 65-69,Total 70-74,Azteca 70-74,Banamex 70-74,Coppel 70-74,Inbursa 70-74,Invercap 70-74,PensionISSSTE 70-74,Principal 70-74,Profuturo 70-74,SURA 70-74,XXI Banorte 70-74,Total 75-79,Azteca 75-79,Banamex 75-79,Coppel 75-79,Inbursa 75-79,Invercap 75-79,PensionISSSTE 75-79,Principal 75-79,Profuturo 75-79,SURA 75-79,XXI Banorte 75-79,Total 80-84,Azteca 80-84,Banamex 80-84,Coppel 80-84,Inbursa 80-84,Invercap 80-84,PensionISSSTE 80-84,Principal 80-84,Profuturo 80-84,SURA 80-84,XXI Banorte 80-84,Total 85-89,Azteca 85-89,Banamex 85-89,Coppel 85-89,Inbursa 85-89,Invercap 85-89,PensionISSSTE 85-89,Principal 85-89,Profuturo 85-89,SURA 85-89,XXI Banorte 85-89,Total 90-94,Azteca 90-94,Banamex 90-94,Coppel 90-94,Inbursa 90-94,Invercap 90-94,PensionISSSTE 90-94,Principal 90-94,Profuturo 90-94,SURA 90-94,XXI Banorte 90-94,Total 95-99,Azteca 95-99,Banamex 95-99,Coppel 95-99,Inbursa 95-99,Invercap 95-99,PensionISSSTE 95-99,Principal 95-99,Profuturo 95-99,SURA 95-99,XXI Banorte 95-99
31/01/2021,527386.5859,12833.13598,68906.90279,20307.47673,25598.67817,21905.04674,40209.38247,41645.98084,90576.94189,75282.26189,130120.7784,698368.0143,19792.05788,97856.80249,30910.11856,30555.74402,33015.5174,40607.28739,54042.81139,122992.2846,104238.5554,164356.8352,837759.4477,26239.61855,128685.3524,42049.23141,31103.45466,44616.34369,36844.64988,64117.68797,149345.1456,136827.4584,177930.505,806430.1781,27756.19936,137340.9591,48037.29878,25250.23894,44527.41614,36205.7899,55055.65198,147099.0326,127949.6574,157207.934,712950.1531,27427.36561,143910.3495,51144.66436,16164.13216,37664.5858,44421.41962,42005.03313,111081.3717,108061.987,131069.2442,499033.6082,22499.98946,124811.376,56776.19564,8588.480052,23873.38127,39678.10368,18491.6167,50504.32448,77207.59577,76602.54525,269294.2117,18010.82463,73652.38641,55718.17357,3152.344581,8852.243068,17977.29605,4901.465651,24075.09563,39005.58589,23948.79621,70377.64837,9238.88231,17161.68262,24396.91825,185.0603998,1261.838335,3375.723233,1702.152761,7530.326967,7589.217998,2561.435525
28/02/2021,519370.1519,12811.47839,66403.2715,20131.67055,25440.0631,21610.23431,40124.27295,41174.02767,89196.20853,74520.0722,127958.8527,693780.6464,19910.76761,96147.53898,30867.48921,30680.60568,32779.68278,40606.19889,53946.00109,121882.2766,103717.4738,163242.6118,833554.8601,26386.15177,127490.1579,42025.11575,31175.57223,44243.97622,36729.92017,63990.09345,148223.4167,136236.1202,177054.3357,802977.4454,27888.86306,136011.7587,48051.0436,25359.32474,44277.94014,36132.56827,54842.06006,146301.4514,127578.6241,156533.8114,710954.0291,27575.10692,142479.9073,51085.6745,16336.77556,37504.73695,44327.0737,41780.11734,110861.5262,108085.3895,130917.7211,497874.9245,22661.54007,123541.033,56594.75395,8724.188918,23877.63254,39567.10094,18435.65659,50621.94874,77248.48116,76602.58855,269193.0715,18158.07581,73053.13126,55554.89979,3233.919127,8965.731375,17944.72702,4921.512454,24208.07354,39137.76361,24015.23746,71765.06276,9492.745741,17410.81612,24911.77369,188.2700406,1286.531745,3431.259101,1729.554332,7644.891785,7775.524214,2620.70209
31/03/2021,507791.1846,12655.46491,63604.54943,19952.81842,25138.592,21108.27904,39684.64756,40184.41904,87210.72944,73114.11054,125137.5742,685517.3649,19861.18105,93865.52363,30815.45872,30700.10739,32354.69442,40336.95265,53141.62604,120409.1133,102786.0229,161246.6849,827212.6186,26358.59584,125903.3552,42084.0597,31262.359,43784.01837,36528.11676,63280.03166,146985.1944,135281.0801,175745.8075,799575.482,27900.96199,134666.1293,48209.45901,25533.80448,44033.90681,36134.06333,54516.54478,145404.6183,127352.3967,155823.5973,711539.4378,27710.79959,141463.3289,51519.9347,16598.24643,37506.15553,44311.13074,41602.22463,111039.576,108804.5975,130983.4439,500611.1176,22861.71162,122236.0748,57435.0571,8956.522904,24023.79783,39430.55109,18349.15759,51749.35224,78612.40575,76956.48668,272712.8886,18457.78455,70872.02989,56782.76268,3366.047997,9154.821142,17906.15006,4944.529201,25561.95048,40592.62578,25074.18685,74358.80621,9863.330593,17786.46287,25666.06469,207.330025,1327.341723,3558.628379,1557.078989,8030.067323,8125.07945,2771.765214
30/04/2021,510179.4872,12813.86135,63192.56305,20039.82039,24900.05911,21174.13697,39948.43679,40488.47294,87604.73868,74306.65027,125710.7476,694655.3314,20334.89636,94566.50844,31178.78018,30677.76294,32699.30743,40659.08831,53997.65093,121960.6282,105076.4254,163504.2832,840060.9845,27075.70958,127747.2341,42618.71626,31254.34866,44220.62879,36750.22255,64362.03002,149218.4364,138357.9871,178455.6711,813180.9094,28702.84554,136722.2273,48842.64976,25588.25302,44722.8642,36470.4454,55589.86718,147902.2928,130504.7474,158134.7168,724949.6148,28490.00183,143623.0843,52162.11485,16715.46881,38432.57867,44664.39487,42471.2496,113724.6013,111810.7637,132855.3569,510455.4181,23533.39059,124031.107,58126.24615,9071.384679,24796.58073,39740.64468,18784.34434,53412.91488,80909.25594,78049.54912,278765.6099,19026.7364,71485.25887,57635.05766,3434.442411,9620.771146,18040.22569,5110.785271,26624.18278,41850.757,25937.39262,74964.03418,9850.465131,17649.97102,25447.6377,239.8152571,1330.764247,3478.647607,1507.465419,8208.487512,8338.827529,2999.968809
31/05/2021,512663.0776,12961.08595,63482.34218,20189.30674,24764.16027,21185.7056,40317.90853,40578.14197,88153.77625,74760.02408,126270.626,702722.8332,20753.7095,95454.24646,31626.8679,30654.71791,32945.30393,41121.30756,54504.31843,123672.8684,106440.3311,165549.1619,851131.6573,27739.04756,129071.1519,43305.38115,31268.7867,44609.9663,37409.60062,65071.27792,151635.7531,140100.0545,180920.6375,825287.8053,29493.55745,138080.3023,49635.96338,25628.19642,45312.53452,37276.22419,56409.54094,150566.5118,132360.0326,160524.9417,737513.0621,29301.19357,145383.1627,53071.40976,16870.41212,39127.58162,45700.05501,43112.20502,116410.9187,113773.1879,134762.9358,521521.4899,24310.25192,126008.6947,59120.71154,9231.728966,25367.7487,40836.49411,19168.49582,55322.57119,82829.62925,79325.16366,286975.9053,19808.45408,73101.52846,58903.22244,3542.118836,9995.644038,18745.46361,5289.666144,27856.95501,43166.34907,26566.50364,79845.81055,10413.31561,18770.36416,26765.01181,260.961993,1409.084387,3699.379962,1595.14472,8864.532102,8932.981399,3251.7935
30/06/2021,507630.0711,13004.83732,62387.4444,20226.77895,24384.14536,20911.33955,40152.88326,40050.24092,87490.68929,74059.98923,124961.7228,702218.2734,21074.74763,94703.26685,32005.28367,30446.50867,32844.87486,40885.44611,54300.54948,124036.0547,106351.157,165570.3844,851985.3273,28238.84126,128480.5201,43773.95495,31102.63625,44482.01366,37366.32524,64877.76826,152442.2557,140020.5487,181200.4633,827053.212,30141.44242,137750.2182,50082.85283,25530.49961,45385.8157,37304.10407,56416.01065,151588.1443,132143.8799,160710.2444,740245.7624,29935.69018,145188.0734,53423.58813,16902.61344,39465.27509,45713.97271,43097.54882,117846.5031,114041.7674,134630.7301,523838.8081,24902.29227,125810.3031,59216.49224,9296.382484,25787.82769,40858.15445,19260.14747,56509.28403,82967.09917,79230.82524,289027.2785,20342.89334,73169.6584,58953.58003,3597.036763,10333.4476,18819.03998,5367.950909,28495.94024,43338.87761,26608.85362,81016.40166,10496.32,19151.04566,26969.41286,267.7857082,1441.125747,3726.175542,1628.010569,9066.052878,9043.682553,3315.314263
31/07/2021,509276.9552,13179.20936,62477.09847,20074.23292,24262.39603,20844.17983,40443.2193,40166.16493,87889.62437,74629.09799,125311.732,709996.1746,21548.06983,95429.08037,31953.81938,30560.76517,33123.45209,41257.69378,54946.29981,125680.6231,107944.4664,167551.9046,862469.8548,28966.67537,129538.7151,43838.21132,31298.79395,44905.91222,37862.86817,65763.7031,154732.7709,142102.2718,183459.9329,838569.1537,31021.59006,138859.816,50361.31314,25776.72738,46058.77683,37966.71372,57276.17927,154382.8324,134275.0849,162590.12,752432.1494,30850.82265,146654.4913,53870.23806,17151.22688,40355.85292,46587.47795,43722.93832,120789.3838,116298.0529,136151.6646,534374.8118,25760.55983,127458.7489,59719.09326,9503.124858,26500.81743,41795.91721,19622.56542,58671.06841,85111.68808,80231.22842,296673.4842,21153.95331,74683.00406,59671.98419,3716.873429,10811.72691,19453.00955,5542.720128,29802.7282,44709.53702,27127.94741,84618.56372,10930.41297,19995.42704,27843.66976,282.8915842,1505.131805,3877.743829,1705.903433,9577.12908,9478.595392,3500.407571
31/08/2021,510978.1333,13340.26285,62239.92958,20098.63928,24175.23026,20847.94166,40787.51612,40370.85507,88134.96288,75133.8704,125848.9253,718559.7023,21988.95978,95994.2777,32230.21699,30712.75637,33352.78412,41686.28091,55756.25353,127499.2336,109448.1494,169890.7899,874938.412,29610.35862,130590.0358,44290.6061,31490.41693,45264.46883,38302.21776,66824.31434,157681.2224,144158.9335,186725.8378,851786.4972,31777.39754,140080.1362,50948.57283,25996.06613,46575.62345,38514.88102,58251.7629,157555.8653,136387.7718,165698.42,764994.3605,31588.94214,148110.1759,54523.83685,17381.88312,41012.23117,47239.45586,44426.16086,123684.0419,118315.8639,138711.7688,543142.4063,26402.71314,128626.9963,60303.79073,9644.641211,27052.42461,42452.85075,19998.79278,60350.73832,86622.59649,81686.862,301420.0451,21672.29326,75440.87798,60184.72826,3787.353098,11133.94342,19781.14793,5671.722632,30658.08904,45469.64654,27620.24291,86576.80882,11138.85625,20457.65552,28329.11277,287.6998291,1553.921729,4034.458529,1766.224359,9810.8427,9722.358702,3595.657259
30/09/2021,503468.3059,13289.47946,61033.90726,19964.49434,23901.09021,20428.45204,40463.21536,39810.02522,86730.9982,74097.92287,123748.7209,713384.244,22097.38976,94664.37894,32272.39829,30674.05974,33099.8562,41363.45212,55348.13427,126634.4131,108700.7044,168529.4572,868629.3589,29842.17106,128676.033,44364.36548,31491.99935,44807.86814,38146.47658,66220.27247,156831.449,143042.9526,185205.7713,846194.2205,32112.56017,138115.1743,51046.86047,26039.99039,46174.71462,38514.01693,57629.51287,156903.5091,135299.0388,164358.8428,760900.4041,31955.31238,146306.5838,54607.06479,17501.56505,40827.55205,47270.97926,43847.11987,123551.8153,117664.2386,137368.1729,542650.3421,26825.27811,127572.2463,60441.07523,9778.301325,27057.57334,42547.16372,19823.31045,61007.7812,86539.85083,81057.76161,303964.3086,22155.82436,75495.683,60692.83236,3894.329848,11323.3105,20010.13398,5707.818879,31301.19864,45795.37415,27587.80285,90895.59946,11775.30218,20798.55523,29636.13103,356.1383506,1647.018197,4463.308959,1867.070744,10732.25505,10132.99789,3356.437346
31/10/2021,505158.0212,13379.08532,61167.19072,20083.61938,23696.49254,20411.71098,40623.44347,40096.73599,87379.47175,74616.75767,123703.5134,722947.2165,22500.65106,96145.53908,32741.55671,30754.23504,33475.15548,41577.85232,56342.35693,128675.7776,110328.2381,170405.8542,881413.7353,30448.77206,130861.8201,44996.65217,31640.14314,45345.43037,38364.85646,67473.64387,159642.4405,145208.3075,187431.6692,860084.9858,32822.55156,140468.6898,51723.56926,26217.27391,46983.63807,38826.61789,58898.37173,160053.6323,137501.335,166589.3064,775078.8402,32660.85381,148897.1964,55267.02118,17700.70247,41863.44899,47685.89036,44946.35535,126622.1697,120071.3637,139363.8383,553086.8766,27502.6776,129822.9738,61058.36121,9915.015514,27901.0176,42925.05972,20353.87348,62893.01965,88417.09675,82297.78132,310330.0108,22755.43096,77010.21983,61369.21596,3962.483197,11779.73614,20222.01779,5917.009869,32306.19444,46928.61722,28079.08539,90356.02006,11690.43725,20605.32354,29316.49506,357.8566628,1643.197058,4424.019582,1859.035545,10780.10307,10062.21423,3355.259418
