symbol,name,index,yahoo,status
MMM,3M,USA,MMM,ok
AOS,A. O. Smith,USA,AOS,ok
ABT,Abbott Laboratories,USA,ABT,ok
ABBV,AbbVie,USA,ABBV,ok
ACN,Accenture,USA,ACN,ok
ADBE,Adobe Inc.,USA,ADBE,ok
AMD,Advanced Micro Devices,USA,AMD,ok
AES,AES Corporation,USA,AES,ok
AFL,Aflac,USA,AFL,ok
A,Agilent Technologies,USA,A,ok
APD,Air Products,USA,APD,ok
ABNB,Airbnb,USA,ABNB,ok
AKAM,Akamai Technologies,USA,AKAM,ok
ALB,Albemarle Corporation,USA,ALB,ok
ARE,Alexandria Real Estate Equities,USA,ARE,ok
ALGN,Align Technology,USA,ALGN,ok
ALLE,Allegion,USA,ALLE,ok
LNT,Alliant Energy,USA,LNT,ok
ALL,Allstate,USA,ALL,ok
GOOGL,Alphabet Inc. (Class A),USA,GOOGL,ok
GOOG,Alphabet Inc. (Class C),USA,GOOG,ok
MO,Altria,USA,MO,ok
AMZN,Amazon,USA,AMZN,ok
AMCR,Amcor,USA,AMCR,ok
AEE,Ameren,USA,AEE,ok
AEP,American Electric Power,USA,AEP,ok
AXP,American Express,USA,AXP,ok
AIG,American International Group,USA,AIG,ok
AMT,American Tower,USA,AMT,ok
AWK,American Water Works,USA,AWK,ok
AMP,Ameriprise Financial,USA,AMP,ok
AME,Ametek,USA,AME,ok
AMGN,Amgen,USA,AMGN,ok
APH,Amphenol,USA,APH,ok
ADI,Analog Devices,USA,ADI,ok
AON,Aon plc,USA,AON,ok
APA,APA Corporation,USA,APA,ok
APO,Apollo Global Management,USA,APO,ok
AAPL,Apple Inc.,USA,AAPL,ok
AMAT,Applied Materials,USA,AMAT,ok
APTV,Aptiv,USA,APTV,ok
ACGL,Arch Capital Group,USA,ACGL,ok
ADM,Archer Daniels Midland,USA,ADM,ok
ANET,Arista Networks,USA,ANET,ok
AJG,Arthur J. Gallagher & Co.,USA,AJG,ok
AIZ,Assurant,USA,AIZ,ok
T,AT&T,USA,T,ok
ATO,Atmos Energy,USA,ATO,ok
ADSK,Autodesk,USA,ADSK,ok
ADP,Automatic Data Processing,USA,ADP,ok
AZO,AutoZone,USA,AZO,ok
AVB,AvalonBay Communities,USA,AVB,ok
AVY,Avery Dennison,USA,AVY,ok
AXON,Axon Enterprise,USA,AXON,ok
BKR,Baker Hughes,USA,BKR,ok
BALL,Ball Corporation,USA,BALL,ok
BAC,Bank of America,USA,BAC,ok
BAX,Baxter International,USA,BAX,ok
BDX,Becton Dickinson,USA,BDX,ok
BBY,Best Buy,USA,BBY,ok
TECH,Bio-Techne,USA,TECH,ok
BIIB,Biogen,USA,BIIB,ok
BLK,BlackRock,USA,BLK,ok
BX,Blackstone Inc.,USA,BX,ok
XYZ,"Block, Inc.",USA,XYZ,ok
BK,BNY Mellon,USA,BK,ok
BA,Boeing,USA,BA,ok
BKNG,Booking Holdings,USA,BKNG,ok
BSX,Boston Scientific,USA,BSX,ok
BMY,Bristol Myers Squibb,USA,BMY,ok
AVGO,Broadcom,USA,AVGO,ok
BR,Broadridge Financial Solutions,USA,BR,ok
BRO,Brown & Brown,USA,BRO,ok
BLDR,Builders FirstSource,USA,BLDR,ok
BG,Bunge Global,USA,BG,ok
BXP,"BXP, Inc.",USA,BXP,ok
CHRW,C.H. Robinson,USA,CHRW,ok
CDNS,Cadence Design Systems,USA,CDNS,ok
CZR,Caesars Entertainment,USA,CZR,ok
CPT,Camden Property Trust,USA,CPT,ok
CPB,Campbell's Company (The),USA,CPB,ok
COF,Capital One,USA,COF,ok
CAH,Cardinal Health,USA,CAH,ok
KMX,CarMax,USA,KMX,ok
CCL,Carnival,USA,CCL,ok
CARR,Carrier Global,USA,CARR,ok
CAT,Caterpillar Inc.,USA,CAT,ok
CBOE,Cboe Global Markets,USA,CBOE,ok
CBRE,CBRE Group,USA,CBRE,ok
CDW,CDW Corporation,USA,CDW,ok
COR,Cencora,USA,COR,ok
CNC,Centene Corporation,USA,CNC,ok
CNP,CenterPoint Energy,USA,CNP,ok
CF,CF Industries,USA,CF,ok
CRL,Charles River Laboratories,USA,CRL,ok
SCHW,Charles Schwab Corporation,USA,SCHW,ok
CHTR,Charter Communications,USA,CHTR,ok
CVX,Chevron Corporation,USA,CVX,ok
CMG,Chipotle Mexican Grill,USA,CMG,ok
CB,Chubb Limited,USA,CB,ok
CHD,Church & Dwight,USA,CHD,ok
CI,Cigna,USA,CI,ok
CINF,Cincinnati Financial,USA,CINF,ok
CTAS,Cintas,USA,CTAS,ok
CSCO,Cisco,USA,CSCO,ok
C,Citigroup,USA,C,ok
CFG,Citizens Financial Group,USA,CFG,ok
CLX,Clorox,USA,CLX,ok
CME,CME Group,USA,CME,ok
CMS,CMS Energy,USA,CMS,ok
KO,Coca-Cola Company (The),USA,KO,ok
CTSH,Cognizant,USA,CTSH,ok
COIN,Coinbase,USA,COIN,ok
CL,Colgate-Palmolive,USA,CL,ok
