Fecha,Promedio 60-64,Azteca 60-64,Banamex 60-64,Coppel 60-64,Inbursa 60-64,Invercap 60-64,PensionISSSTE 60-64,Principal 60-64,Profuturo 60-64,SURA 60-64,XXI Banorte 60-64,Promedio 65-69,Azteca 65-69,Banamex 65-69,Coppel 65-69,Inbursa 65-69,Invercap 65-69,PensionISSSTE 65-69,Principal 65-69,Profuturo 65-69,SURA 65-69,XXI Banorte 65-69,Promedio 70-74,Azteca 70-74,Banamex 70-74,Coppel 70-74,Inbursa 70-74,Invercap 70-74,PensionISSSTE 70-74,Principal 70-74,Profuturo 70-74,SURA 70-74,XXI Banorte 70-74,Promedio 75-79,Azteca 75-79,Banamex 75-79,Coppel 75-79,Inbursa 75-79,Invercap 75-79,PensionISSSTE 75-79,Principal 75-79,Profuturo 75-79,SURA 75-79,XXI Banorte 75-79,Promedio 80-84,Azteca 80-84,Banamex 80-84,Coppel 80-84,Inbursa 80-84,Invercap 80-84,PensionISSSTE 80-84,Principal 80-84,Profuturo 80-84,SURA 80-84,XXI Banorte 80-84,Promedio 85-89,Azteca 85-89,Banamex 85-89,Coppel 85-89,Inbursa 85-89,Invercap 85-89,PensionISSSTE 85-89,Principal 85-89,Profuturo 85-89,SURA 85-89,XXI Banorte 85-89,Promedio 90-94,Azteca 90-94,Banamex 90-94,Coppel 90-94,Inbursa 90-94,Invercap 90-94,PensionISSSTE 90-94,Principal 90-94,Profuturo 90-94,SURA 90-94,XXI Banorte 90-94,Promedio 95-99,Azteca 95-99,Banamex 95-99,Coppel 95-99,Inbursa 95-99,Invercap 95-99,PensionISSSTE 95-99,Principal 95-99,Profuturo 95-99,SURA 95-99,XXI Banorte 95-99
31/08/2024,6.98672,6.6525,6.017,6.0909,7.2186,7.2576,7.5387,7.5144,7.1445,7.533,6.9,7.39211,6.7912,6.7782,6.2967,7.6503,7.5823,7.8649,7.8566,7.6639,7.793,7.644,7.52788,6.5422,7.5395,6.3889,7.6226,7.6162,7.5913,7.9992,8.2032,7.9296,7.8461,7.72116,6.6589,7.7447,6.743,7.8102,7.7962,7.3939,8.3449,8.613,8.0683,8.0385,7.81802,6.59,7.9533,6.8306,7.8638,8.3868,7.4171,7.9135,8.6837,8.1812,8.3602,7.92242,6.818,8.0553,6.9189,7.9161,8.3328,7.495,8.057,8.8965,8.2574,8.4772,7.96347,6.7832,7.9295,6.8397,7.9805,8.7135,7.9806,7.9415,8.7555,8.2792,8.4315,13.9764,12.2386,15.7926,11.5092,11.2259,14.1055,11.5758,14.3842,17.6541,15.1111,14.9703
30/09/2024,7.27571,6.9017,6.2929,6.3622,7.5532,7.5349,7.6706,7.7999,7.5419,7.8871,7.2127,7.67364,7.0525,7.0749,6.5263,7.9092,7.8643,8.0416,8.1176,7.9964,8.1542,7.9994,7.81111,6.7979,7.8853,6.5506,7.9079,7.9075,7.7698,8.2555,8.5151,8.3159,8.2056,8.01548,6.9201,8.1065,6.9431,8.1039,8.0961,7.6076,8.5945,8.9146,8.4597,8.4087,8.10027,6.8379,8.2761,6.9789,8.1458,8.7045,7.6299,8.1702,8.98,8.5456,8.7338,8.20866,7.0629,8.3663,7.1401,8.1814,8.6496,7.7043,8.3061,9.1933,8.6241,8.8585,8.25515,7.0326,8.2364,7.0721,8.2362,9.0598,8.1728,8.2001,9.0527,8.6557,8.8331,18.8994,16.4169,21.5761,15.6892,13.1941,19.4478,14.9296,20.362,22.356,21.7308,21.4202
31/10/2024,6.85593,6.399,5.8546,5.982,7.2134,7.1574,7.3955,7.4044,7.0384,7.3727,6.7419,7.28945,6.5465,6.6388,6.2079,7.7056,7.5237,7.7143,7.7539,7.5696,7.6951,7.5391,7.40597,6.2912,7.349,6.2549,7.6612,7.5467,7.4043,7.8774,8.0915,7.8354,7.7481,7.5897,6.4114,7.5326,6.6083,7.8174,7.6935,7.2044,8.2213,8.4895,7.9755,7.9431,7.64333,6.3175,7.649,6.5831,7.8424,8.2481,7.181,7.7665,8.55,8.0344,8.2613,7.73554,6.5385,7.7121,6.6987,7.8877,8.184,7.2468,7.8647,8.7646,8.0825,8.3758,7.78484,6.5027,7.5891,6.6235,7.9786,8.5937,7.736,7.7559,8.622,8.1132,8.3337,18.9733,15.8938,21.4481,15.5839,13.3596,19.7642,14.0499,20.9063,23.4413,22.0379,21.8395
30/11/2024,6.8295,6.4682,5.8279,5.9923,7.0164,7.1367,7.3897,7.4132,6.9172,7.4483,6.6851,7.30358,6.6169,6.6439,6.2665,7.5628,7.5556,7.7135,7.7714,7.5666,7.7882,7.5504,7.42786,6.3335,7.3711,6.303,7.4458,7.5931,7.4565,7.9114,8.1108,7.9453,7.8081,7.60498,6.4129,7.5545,6.6458,7.5322,7.7771,7.2182,8.2707,8.5153,8.097,8.0261,7.64911,6.2965,7.7075,6.5713,7.5381,8.2641,7.1747,7.8325,8.5705,8.1882,8.3477,7.73717,6.5114,7.79,6.6932,7.579,8.1776,7.2333,7.9241,8.7758,8.2405,8.4468,7.78299,6.4484,7.6767,6.6236,7.6681,8.6017,7.698,7.8026,8.6419,8.2662,8.4027,13.8629,10.697,15.6973,10.7171,9.9704,14.5274,11.2543,14.7801,18.0006,16.7026,15.9397
31/12/2024,6.57221,6.1675,5.5975,5.8691,6.8368,6.9493,7.1135,7.0836,6.5823,7.0836,6.4389,7.01875,6.2679,6.3593,6.0905,7.4413,7.3302,7.4076,7.4328,7.1988,7.4181,7.241,7.17225,6.0637,7.0969,6.2203,7.3314,7.335,7.1605,7.5935,7.7783,7.6082,7.5347,7.25948,6.0631,7.1777,6.4468,7.3459,7.4337,6.863,7.8609,8.1049,7.6485,7.6503,7.36276,6.0296,7.3709,6.482,7.4018,7.9726,6.8655,7.4628,8.225,7.7761,8.0413,7.3611,6.1513,7.3307,6.4584,7.4093,7.8262,6.8531,7.4585,8.3655,7.7165,8.0415,7.40631,6.0922,7.2189,6.3846,7.5079,8.2447,7.3323,7.3494,8.2151,7.7291,7.9889,9.0773,6.412,10.8202,6.2864,7.3472,9.9344,8.0625,9.1408,12.4614,10.9153,10.9671
31/01/2025,6.7251,6.2991,5.6654,6.0161,6.9959,7.1283,7.297,7.2627,6.7704,7.2783,6.5378,7.2175,6.4471,6.5242,6.2576,7.5875,7.5841,7.635,7.6875,7.4453,7.594,7.4127,7.40298,6.2539,7.348,6.3758,7.5115,7.619,7.412,7.8657,8.0582,7.8399,7.7458,7.50975,6.271,7.4475,6.5974,7.5692,7.7639,7.1067,8.1253,8.3891,7.9241,7.9033,7.63283,6.2395,7.6688,6.6235,7.6471,8.354,7.1559,7.7303,8.5257,8.0642,8.3193,7.63941,6.36,7.6277,6.6015,7.6658,8.266,7.1466,7.7307,8.6448,8.0168,8.3342,7.68754,6.3022,7.4944,6.533,7.8015,8.6307,7.6286,7.642,8.5272,8.0269,8.2889,11.5994,8.698,13.3785,8.5694,9.525,13.0173,10.7155,12.3282,14.6069,14.3706,13.6002
28/02/2025,7.12951,6.7193,5.9442,6.3917,7.3108,7.4709,7.6521,7.6553,7.3164,7.8974,6.937,7.59024,6.8985,6.812,6.5364,7.8279,7.8769,8.0023,8.1,7.9136,8.1479,7.7869,7.82008,6.7489,7.8299,6.6702,7.8266,7.9698,7.769,8.3014,8.5029,8.4534,8.1287,7.96914,6.7819,7.9929,6.9333,7.9574,8.2336,7.4876,8.5735,8.8242,8.5923,8.3147,8.14189,6.7832,8.2369,7.0677,8.0639,8.8082,7.6096,8.2157,9.0416,8.8226,8.7695,8.16841,6.961,8.1886,7.0555,8.0952,8.7749,7.6056,8.3103,9.1053,8.8009,8.7868,8.22239,6.969,8.0699,7.006,8.2346,9.0576,8.1152,8.204,8.9906,8.8309,8.7461,12.8826,10.8225,13.7932,10.7358,11.0058,13.6051,12.3114,12.5852,14.9864,15.7024,14.0247
31/03/2025,7.75683,7.5626,6.8823,7.019,7.2381,7.7046,7.9729,8.1931,8.1793,9.2181,7.5983,8.22953,7.7304,8.0022,7.0412,7.7615,8.1592,8.3478,8.5936,8.7086,9.4739,8.4769,8.58439,7.6184,9.5395,7.1851,7.8975,8.3984,8.1293,8.9604,9.2867,9.9557,8.8729,8.81658,7.7264,9.7248,7.5074,8.1786,8.9824,7.9411,9.3181,9.523,10.1584,9.1056,9.10768,7.7664,10.084,7.7608,8.3764,9.6185,8.106,9.1494,9.8085,10.7318,9.675,9.12074,7.9602,10.0458,7.7638,8.4544,9.5565,8.0986,9.1962,9.789,10.6496,9.6933,9.18043,7.9527,9.973,7.7238,8.6486,9.7534,8.6749,8.9881,9.7136,10.7452,9.631,12.8939,11.1738,13.2235,11.6151,12.21,13.0659,12.5603,12.364,14.3224,15.4601,13.2215
30/04/2025,7.13956,6.9943,6.4077,6.4046,7.0729,7.0829,7.3357,7.3424,7.531,8.289,6.9351,7.52464,7.0799,7.3719,6.3181,7.5693,7.4526,7.7115,7.5811,8.0016,8.4979,7.6625,7.76934,6.9324,8.506,6.4051,7.6973,7.5011,7.4952,7.868,8.4919,8.8273,7.9691,7.94969,7.0041,8.623,6.7141,7.944,7.9728,7.3216,8.1422,8.678,8.9754,8.1217,8.15615,7.0411,8.9095,6.9283,8.1375,8.4323,7.4191,7.9601,8.8054,9.3592,8.569,8.15986,7.221,8.8335,6.9294,8.2109,8.4622,7.4351,7.8974,8.818,9.2212,8.5699,8.20805,7.1905,8.7736,6.8968,8.388,8.6059,7.9405,7.7349,8.7372,9.2895,8.5236,14.2658,12.8906,14.9402,12.7261,12.8563,13.9289,13.5149,12.8787,15.4789,17.1661,14.5574
31/05/2025,7.08946,6.9919,6.0318,6.4735,7.3068,7.0892,7.4853,7.3404,7.271,8.0071,6.8976,7.52767,7.1384,7.0372,6.4439,7.7647,7.5391,7.8592,7.5814,7.8188,8.3562,7.7378,7.79148,7.0183,8.1812,6.5438,7.9129,7.524,7.6926,7.8391,8.3992,8.7096,8.0941,7.97474,7.0768,8.3234,6.8317,8.1696,7.9679,7.4377,8.1052,8.669,8.8881,8.278,8.18309,7.1234,8.5947,7.0417,8.3832,8.3866,7.5706,7.9027,8.8077,9.2723,8.748,8.21149,7.3213,8.5866,7.0224,8.4794,8.5126,7.6106,7.8358,8.8347,9.1396,8.7719,8.27042,7.3455,8.5066,6.9921,8.6826,8.6127,8.1248,7.7201,8.7374,9.2286,8.7538,15.9318,14.418,16.4935,14.2706,14.4415,15.1266,15.0634,13.3776,17.3646,19.0298,16.3537
